Associated Gene Name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
Gm7083,15,59977722,59978171
Gm22201,17,32389011,32389069
Gm27549,6,41602244,41602305
Gm23350,18,9763160,9763262
Gm25807,10,129172573,129172877
Gm22894,9,102373118,102373220
Olfr1010,2,85753363,85754306
Gm27271,13,56704030,56704199
Commd10,18,46958862,47087992
Gm23767,7,59708469,59708562
Mir5126,1,84695839,84695915
Gprc6a,10,51614823,51631458
Gm23403,6,133191792,133191901
Efs,14,54916543,54926788
Mir103-2,2,131288052,131288137
Gm22303,12,16939994,16940115
Gm22556,8,115052814,115052913
Gm24750,12,61920574,61920677
Mir695,2,155356817,155356925
Gm27972,14,61648638,61648774
Rnf17,14,56402697,56525032
Gm23594,9,99943709,99943842
Gm26066,17,84624402,84624510
Tspan15,10,62185396,62231218
Gm22481,16,22595029,22595220
Gm44340,14,70299922,70300007
Gm22093,6,111603252,111603362
Bzw2,12,36091846,36156825
Gm25322,1,119530211,119530314
Mir467d,2,10507630,10507714
Gm23007,2,21197690,21197866
Snord116l5,7,59887057,59887150
Mir1906-2,X,88759474,88759553
Csf2rb,15,78325990,78351000
Mir669a-5,2,10481761,10481847
Mir341,12,109611500,109611595
Gm25545,10,75442620,75442942
Hsd17b3,13,64058274,64089201
Dppa4,16,48283735,48294292
Gm22932,16,10273750,10273821
Gm24112,4,40850144,40850226
Mir7217,17,27355738,27355799
Zc3h3,15,75754432,75841915
Gm25951,4,140717043,140717106
Eif3h,15,51786558,51865481
Gm25495,14,90356387,90356517
Gm22912,7,59612005,59612083
Gm24157,11,52099043,52099153
Rnu3b1,11,87443237,87443451
Zfp608,18,54888045,54990180
Gm22156,11,12676933,12677073
Gm22362,6,131380273,131380406
Mir142b,11,87756841,87756955
Mir5709,17,67026147,67026235
Gm22800,2,118248689,118248782
Mir302d,3,127545624,127545689
Pphln1,15,93398350,93491913
Gm24547,1,122510549,122510697
Gm25085,7,59540870,59540948
Gm24617,18,46367365,46367485
Gm25623,4,34086126,34086233
Gm4149,13,75644864,75645226
Mir7003,2,163068090,163068155
Arf6,12,69372150,69375979
Mtmr9,14,63523616,63543953
Snx13,12,35047189,35147469
Gm22281,1,63575488,63575590
Gm22879,2,26912218,26912291
Gm23284,8,123620241,123620359
Mcm9,10,53536329,53630439
Gm22302,7,37824242,37824347
Gm22530,6,81806791,81806908
Gm22411,2,127891988,127892113
Mir6357,18,70516786,70516889
Cyp4f39,17,32468462,32492479
Krtap20-2,16,89205861,89206388
Mir693,17,46231531,46231619
Ovol1,19,5549137,5560575
Gm24865,7,25828632,25828727
Gm23194,11,69240599,69240703
Gm44391,8,67629014,67629106
Qpct,17,79051906,79090243
Myh15,16,49057486,49199104
Gm25501,3,127005369,127005500
Scaf8,17,3114972,3198855
Gm27636,2,105123062,105123183
Mir7225,3,97690509,97690562
Prss34,17,25298394,25300161
Snora28,12,111540941,111541067
Lrrc73,17,46254165,46257316
Gm22810,15,24820545,24820702
Mrpl16,19,11770415,11774944
Gm23980,15,23646420,23646577
Bdkrb2,12,105563172,105593071
Mir6931,11,102999848,102999921
Slc5a7,17,54273594,54299034
Lgals2,15,78850862,78855529
Mir3063,11,95963292,95963383
Mir7088,9,108081498,108081583
Gm22260,1,25279445,25279551
Gm25483,13,12589565,12589791
Gm25895,X,153915116,153915215
Sptssa,12,54645374,54656572
n-R5s110,8,123555763,123555881
Mir7021,4,143136100,143136162
Gm5089,14,122434854,122451115
Mir7654,8,8690093,8690162
Slmo1,18,67464849,67480581
Trpd52l3,19,30003790,30006020
Gm24422,11,48684709,48684827
Gm22773,2,172864264,172864341
Gm22550,X,54118995,54119101
Gm10936,10,117248024,117250265
n-R5s175,5,119297245,119297361
Gm17490,2,11625606,11626264
Dok3,13,55523235,55528538
Mir423,11,77078064,77078172
Tspan31,10,127067317,127070261
Gm24273,1,131498639,131498802
Mir1941,15,101369352,101369434
Mrgprh,17,12876034,12877842
Gm24564,12,109631074,109631148
Tmem30b,12,73543114,73546395
Snord52,17,34950952,34951017
Msln,17,25748614,25754327
Ptrhd1,12,4234027,4240123
Pced1b,15,97247107,97385689
Mir6385,9,58221150,58221254
Lcor,19,41482645,41562246
Gm21839,5,135643955,135644336
Gm23512,18,67174885,67174991
Pdcd11,19,47090766,47131143
Mir8115,5,122682597,122682715
Basp1,15,25363285,25413764
Rnu3b1,11,87443237,87443452
Mir3091,2,180257536,180257611
Gm11110,17,57092035,57105942
Gpt,15,76696764,76699674
Smarcd1,15,99702287,99713995
Gm25431,19,3136984,3137090
Gm22560,18,63509895,63510014
Gm10323,13,66852174,66854872
Gm26426,2,10494321,10494443
Tcl1b4,12,105202422,105206993
Gm22420,17,26580802,26580927
Kifc2,15,76660641,76668196
Gm24544,3,73146849,73146958
Sf3b6,12,4817608,4827658
Mpp5,12,78748947,78840711
Gm25126,8,37317477,37317578
Gm8439,4,120588745,120609673
Snord104,11,106500993,106501062
Gm22269,3,57054150,57054279
Gm27280,6,52261154,52261212
Impa2,18,67289253,67319146
Gm24954,X,89849394,89849503
Gm26505,2,113288273,113288438
Mir466f-3,2,10471953,10472046
Twnk,19,45006558,45012762
Gm4307,10,100361338,100362247
Gm27375,14,51837151,51837257
Gm27660,7,91126348,91126555
Piwil2,14,70372480,70429094
Rnase4,14,51091077,51106151
Gm25697,14,27527751,27527848
Gm24830,3,96328425,96328590
Grik2,10,49099843,49783259
Amn,12,111271111,111276426
Mir7053,7,44538106,44538178
Mir101c,9,3038669,3038743
Rfesd,13,76001535,76018712
Mir7026,5,110666075,110666141
Cdadc1,14,59560896,59597836
Gm24100,7,59598904,59598982
1700047I17Rik2,12,55199533,55214076
Gm25973,17,36842226,36842352
Gm17571,9,13444034,13446753
Mir291a,7,3218919,3219000
Cep85l,10,53278081,53379851
Mir181d,8,84178716,84178787
Gm24673,2,10491860,10491983
Slc39a5,10,128395934,128401224
Iah1,12,21316392,21323605
3110070M22Rik,13,119487261,119488383
Gm25948,11,120068127,120068238
Rpl30-ps8,12,99047230,99047577
Taf1b,12,24498581,24558571
Fads1,19,10182888,10196870
Gm23781,12,11688697,11689004
Tdgf1-ps1,16,3730510,3731025
Tatdn1,15,58890153,58933730
Recql4,15,76703553,76710559
Gm21913,Y,74623896,74624978
Gm23640,11,98870396,98870499
Gm10205,5,44983861,44984242
Vma21-ps,4,52496939,52497244
Gm22025,X,140641960,140642261
Ctdsp2,10,126978717,126999975
Gm25065,6,123623932,123624063
A730015C16Rik,4,108847399,108848619
Gm24762,4,132547104,132547207
Esp15,17,39640957,39645666
Nedd8,14,55662265,55671906
Gm25088,7,59452983,59453061
Gm25962,10,93916169,93916336
Gm26306,9,44395797,44395915
Gm16494,17,47016696,47016956
n-R5s115,8,123564286,123564404
Gm24383,3,107415863,107416195
Tubb2b,13,34127008,34130354
Dnajc15,14,77826217,77874917
Mir201,X,67988096,67988161
Mir670,2,94261300,94261399
Gm25077,7,59473776,59473854
Gm10295,7,71348961,71351485
Mir7086,9,45266643,45266707
Gm24701,7,14912358,14912462
Gm22827,8,112062505,112062611
Gm4294,12,12023043,12023657
Slc37a1,17,31295483,31350696
Gm25307,3,132537560,132537665
Gm26113,5,141080431,141080509
Gm24490,8,86292501,86292598
Mad2l1bp,17,46147390,46153553
AC122546.1,5,149247950,149248027
Gm11037,2,131133497,131134215
Gm25745,10,86705316,86705448
Prf1,10,61297836,61304263
Gm24704,3,24562074,24562180
Tmem253,14,52016865,52019787
Gm22029,3,55162314,55162434
Gm22866,9,90351995,90352171
Edn1,13,42301270,42307989
Tgfb3,12,86056744,86079041
AL626808.1,4,149817764,149817823
Gm24117,4,62812428,62812560
Mir7237,8,121978024,121978086
D030025P21Rik,12,84875769,84878132
Gm25117,10,111481493,111481636
Snord88c,7,44249852,44249941
Gm25953,6,118429170,118429252
Herc4,10,63243797,63317881
Gm6684,19,20586074,20586757
9330132A10Rik,18,89293502,89297229
Gm23362,5,149145724,149145821
Gm26002,8,128650997,128651103
Gm23674,18,26495435,26495565
Gm6904,14,59244441,59260216
Polh,17,46172004,46202625
Gm6807,19,45450308,45451195
Gm24926,7,59477493,59477571
Gm24745,10,107136974,107137058
Gm24984,10,72527550,72527682
Minpp1,19,32485769,32515370
Cldn34c2,X,123581700,123602134
Wnt7b,15,85535439,85581821
AC151286.1,17,91088406,91088550
Mir6924,11,69882032,69882094
Gm9386,17,80938334,80938714
Gm23555,18,56192999,56193133
Gm25383,13,79161719,79161862
Gm22256,13,62466865,62466971
Gm6781,14,18531363,18532460
Mir7083,9,21809941,21810000
Gm25514,2,116968039,116968173
Gm23982,6,42832779,42832884
Gm5464,14,66868850,66871005
Nudt18,14,70577847,70582571
Gm17542,10,58713606,58718210
Gm26478,2,11087781,11087913
Gm16485,9,8971791,8975773
Gm23634,4,134468364,134468454
Mir1897,3,34638464,34638542
Gm24502,5,75561046,75561150
Gm22913,10,96164331,96164431
Bbs1,19,4886898,4906627
Gm25087,7,59582063,59582140
Tnfsf9,17,57105385,57107757
Gm17567,10,33994989,33995054
Gm23363,2,32318265,32318343
Mir126b,2,26591363,26591420
Gm22836,9,82439414,82439474
Syne3,12,104929949,105009809
Polr3h,15,81915030,81926213
Ttc41,10,86705811,86776843
Gm24876,14,75745849,75745940
Gm10322,10,59616063,59616398
Gm22034,1,102953415,102953548
Gm23637,18,9827026,9827119
C2cd4c,10,79606857,79614025
Fam19a5,15,87625230,87759336
Gm26214,1,105945554,105945660
Gm23464,3,90560556,90560702
Bcdin3d,15,99470084,99474730
Bcr,10,75060896,75184923
Gm10608,9,119159161,119161669
Gm24312,8,123582850,123582968
Tcp10c,17,13354572,13377223
Gm23040,7,98506954,98507116
Mir194-2,19,6264643,6264728
Gm24269,9,110925403,110925479
Gm17611,13,49976258,49976488
Gpr18,14,121911435,121915774
Gm25598,17,15837549,15837655
Timm13,10,80899450,80900969
Tns2,15,102102988,102116401
Mir6413,10,20297581,20297688
Gm23713,13,62136762,62136831
Gm25266,10,94948590,94948893
Mir7687,8,120538696,120538754
Gm22339,10,104224838,104224899
Gm25081,2,38480338,38480445
Gm22663,12,51740241,51740342
Gm22635,2,10492421,10492546
Rab1b,19,5099207,5106996
Gm24863,13,79454970,79455076
Gm25780,6,140530963,140531215
Gm25137,4,116674153,116674262
Odf3l2,10,79639526,79645738
Lrch1,14,74754674,74947877
Nmrk2,10,81198170,81202037
Mir484,16,14159626,14159692
n-R5s76,10,31317169,31317281
Gm25262,4,43631425,43631557
Gm23230,4,114844985,114845117
Gm27321,X,103623551,103623755
Gm23899,14,66591606,66591695
Slc12a7,13,73763697,73816743
Ddx1,12,13219308,13249213
Gm26211,12,24779018,24779146
Gm26262,18,45941007,45941133
Gm25102,17,57747565,57747676
Wnt10b,15,98771753,98778150
Gm44488,13,119269486,119269604
Gm24736,17,72499289,72499418
Mir5098,5,77272757,77272838
Mir6537,7,25097066,25097175
Zdhhc8,16,18220754,18235136
Hs6st3,14,119138415,119869594
Ttc32,12,9029997,9036394
Gm24081,2,127040561,127040685
Gm25999,15,99254882,99255014
Gm23903,15,27061736,27061866
Gm27582,10,92133222,92133347
Gm23186,17,4678020,4678126
Fibp,19,5460607,5465052
Cmpk2,12,26469204,26479835
Gm23973,7,103271550,103271870
Gm22718,6,19046837,19047151
Gm22996,7,59375713,59375791
n-R5s10,X,86406128,86406246
Gm28006,19,5844916,5845037
Gm24387,6,113422150,113422239
Mir339,5,139369650,139369745
Gm25016,10,25266045,25266175
Gm23921,7,25868945,25869051
Gm26123,8,65902057,65902191
Scarna13,12,105031075,105031349
Gm27640,11,3647179,3647325
Gm24885,2,107097206,107097475
Gm24744,3,119831937,119832057
Tuba1c,15,99029891,99038105
Mir448,X,147158210,147158321
Gm27901,7,143447605,143447665
Mir2136,9,104426113,104426187
Gm22806,13,51648199,51648334
Gm23224,11,72340370,72340640
Gm23836,4,94098290,94098418
Gm22016,1,141314355,141314468
Zfp641,15,98285588,98296130
Mir363,X,52741693,52741767
Tmem18,12,30584443,30591213
Mir6376,6,88104128,88104258
Gm23745,4,53905696,53905820
Gm25276,16,13531428,13531551
Nbas,12,13269127,13583810
Gm25070,15,95879716,95879817
Fam160b2,14,70583296,70599835
Gm24302,15,12695124,12695224
Gm26187,1,87251148,87251248
Gm24398,11,23172798,23172906
Gm24331,13,84182278,84182344
Mir7004,2,168640696,168640759
Mir7008,3,31038966,31039028
Gm22223,8,101539584,101539708
Actr6,10,89711973,89732295
Gm26090,3,130870949,130871076
Gm25287,10,100144254,100144363
Gm23788,7,123942104,123942209
Gm24731,12,45109007,45109137
Gm24770,14,96945019,96945110
Gm25275,8,66918650,66918778
Aes,10,81559494,81566362
Gcat,15,79030874,79043558
Gm24402,1,151260824,151260914
Gm25409,7,99653688,99653818
Adamts12,15,11064790,11346867
Gm25967,16,35722087,35722233
Gm23368,7,30100840,30100935
Gm25253,1,10555554,10555660
Mir322,X,53054255,53054349
Gm23656,X,105873824,105873935
Gm22435,X,68684148,68684275
Gm23660,7,59387953,59388031
Mir6411,10,104287269,104287376
Acer1,17,56953490,56982126
AL603834.1,11,75318488,75318608
Gm22584,7,59713534,59713625
Mir7062,7,139986809,139986874
Gm26460,19,6563780,6563905
Gm24875,2,25031350,25031453
Atxn10,15,85336381,85463836
Gm23865,2,29931427,29931523
Cyp2d37-ps,15,82689134,82690499
Gm23405,4,150964735,150964894
Gm22286,9,47525616,47525722
n-R5s34,16,37854782,37854897
Gm23933,7,59389820,59389898
Mir1955,2,92191977,92192074
Gm17304,5,106609098,106609201
Mir7231,6,122831377,122831437
Nckap1l,15,103453825,103498800
Gm25466,14,11335873,11336004
Mir6412,10,122648339,122648435
Mir677,10,128085286,128085363
Rmdn2,17,79614900,79682152
Erich6b,14,75642259,75667137
Gm22387,11,86997133,86997263
Gm22014,18,84737102,84737391
Gm10972,3,94643112,94643600
Snord49b,11,62603079,62603150
Smug1,15,103153307,103158002
Gm22903,3,122232535,122232636
Gm26359,10,67235861,67235961
Mir3473b,10,41670739,41670793
Gm24192,11,39830656,39830800
Mir7220,18,60953873,60953932
Gm22370,10,28214039,28214121
Gm24201,16,23110383,23110507
Mir6941,12,112920483,112920541
Pgk2,17,40207018,40208609
Twistnb,12,33429624,33439380
Mfsd7a,5,108441054,108448891
Gm23311,11,71288425,71288558
Gm26343,3,86275232,86275362
7530416G11Rik,15,85492736,85503227
Gm25392,18,19707093,19707389
Pcdh17,14,84443563,84537060
Gm25290,5,92193322,92193465
Mir3084-1,19,24942235,24942303
Ganab,19,8898090,8916663
Gm25490,11,15452422,15452551
Gm10392,11,77516660,77519198
Gm24020,13,62624194,62624301
Cstb,10,78425670,78427619
Gm23641,5,150551707,150551807
Gm22508,18,69777936,69778045
Gm8723,10,100376462,100377335
Morn2,17,80290212,80297473
Mir3097,5,35021049,35021115
Gm44462,7,112713951,112714079
Mir8120,3,65659288,65659426
Gm25372,15,36028898,36029152
Gm24691,6,26460291,26460430
Klf5,14,99298691,99313405
Snx18,13,113592180,113618564
Gm23942,7,5277344,5277450
Snx6,12,54746349,54795703
Map4k3,17,80580512,80728093
Vrk1,12,106010263,106077410
Gm24665,2,130086041,130086169
Gm22548,1,67616975,67617052
Gm24681,16,68452859,68452965
Yipf5,18,40204865,40219399
n-R5s167,6,132591058,132591178
Gm24533,6,73141485,73141680
Gm22529,6,25199929,25200051
Spanxn4,12,62687822,62688244
Gm26431,2,10487507,10487633
Gm25804,13,13329484,13329671
Gm22614,3,96488729,96488893
Cdkl1,12,69746848,69790707
Ubac2,14,121878606,122021034
Gm26571,12,83950690,83951355
Gm24292,18,7835177,7835283
Mir496a,12,109739119,109739197
Gm23119,18,74778561,74778700
Gm25828,X,101912630,101912724
Gm25966,2,61798180,61798296
Gm5225,17,24023859,24024182
Gm25562,9,52291199,52291331
Gm27492,6,52246399,52246585
Gm6304,18,15011246,15011692
Tymp,15,89371931,89377039
Gm24659,7,89291190,89291299
Gm23120,11,107827374,107827660
Gm5514,19,21938079,21938384
Gm23687,7,59439891,59439969
Hsd17b6,10,127990941,128000678
Gm27957,15,62175422,62175548
AC132444.6,GL456221.1,151235,152734
Gm22845,12,9865347,9865450
Map3k13,16,21891969,21931877
Dpp9,17,56186682,56218889
Gm24866,7,59393561,59393639
Gm24298,10,120605537,120605596
Gm3238,10,77770633,77771325
Mir3473a,X,162874918,162874995
Gm24208,12,13163629,13163763
Gm23701,14,25827996,25828105
Slc26a10,10,127172426,127180645
Actn1,12,80167542,80260371
Gm10764,10,87290733,87291110
Gm25977,4,21328520,21328604
Spast,17,74338987,74391113
Lingo3,10,80832807,80844039
Gm27592,7,24336340,24336465
Gm25521,5,93013032,93013139
1810049J17Rik,15,12321438,12321899
Gm23111,17,33959663,33959767
Gm22070,10,114991541,114991647
Sema6b,17,56123085,56140343
Fam205a3,4,42318334,42323929
Gm27525,15,22274070,22274176
Gm23821,1,186123201,186123306
Mir6402,4,91373284,91373363
Mir378a,18,61397835,61397900
Gm22428,8,91061265,91061396
Rnase2b,14,51162260,51163018
Gm27976,12,103128189,103128350
Mir874,13,58023125,58023200
Agap2,10,127078907,127093169
Mir686,14,54616677,54616785
Gm23583,1,192998286,192998574
Gm24303,6,29150554,29150679
Mir3470a,6,83090311,83090387
Plekhj1,10,80796100,80798626
Gm23306,16,36285433,36285537
Dennd1c,17,57066056,57078510
Tex21,12,76198692,76246746
Mir500,X,7237683,7237774
Glrx5,12,105032689,105040910
Gm23145,7,59424924,59425002
Gm22586,8,64161405,64161526
Daam1,12,71831078,71992367
Gm24085,17,12865125,12865240
Mir503,X,53053984,53054054
Ascc3,10,50592669,50851202
Tut1,19,8953850,8966207
Adat3,10,80602880,80615783
Amh,10,80805248,80807648
Gm22833,6,123424556,123424687
Gm25979,10,11330489,11330626
Gm24817,1,172843534,172843638
Slc22a6,19,8617996,8628299
Gm23811,9,4455940,4456023
Il23a,10,128296140,128298084
Rprl1,6,69326844,69327170
Dnajc4,19,6987911,6992503
H1fnt,15,98255982,98257307
Gm24536,6,29963555,29963661
Gm5414,15,101624028,101628188
Mir1938,12,40222712,40222811
Clmn,12,104763114,104865076
Gm23936,4,120837488,120837597
Rpl36,17,56613395,56614243
Tbx10,19,3992752,3999511
Cyb561a3,19,10577454,10588548
Scarna6,1,87784556,87784820
Pgf,12,85166639,85177296
Gm25136,6,135584192,135584306
B3gat3,19,8920374,8927234
Gm7099,12,9429546,9430099
Gm23268,5,135837295,135837372
Mir5120,4,44607491,44607568
Gm24862,7,59391690,59391768
Gm27330,1,50222389,50222520
Gm23529,12,33452712,33452843
Cela1,15,100674425,100687920
Krt6a,15,101689932,101694307
AC125178.3,JH584298.1,168268,170838
Gm24091,4,130766331,130766413
Odc1,12,17544873,17551502
Cd5,19,10718143,10738974
Gm25104,17,37267076,37267238
Tkfc,19,10592200,10604258
Snrnp48,13,38204939,38227663
Gm26406,X,132507131,132507254
Snord60,17,24528476,24528553
Jag2,12,112908590,112929495
Rad9a,19,4195198,4201603
Snord7,11,83294304,83294400
Tpbpa,13,60938692,60941935
Insm2,12,55598917,55602018
Gm24260,3,139417757,139417863
Gm23173,5,100517284,100517443
Gm9812,12,55820611,55821580
Gm24582,11,57741300,57741402
Vis1,2,45280724,45280924
Gm23567,9,72969602,72969708
Ppm1a,12,72761211,72794940
Gm22923,16,75764322,75764431
F2r,13,95601804,95618459
Ros1,10,52045926,52195244
Tcl1b5,12,105176358,105181143
Nxnl2,13,51171025,51175187
Hivep1,13,42052021,42185026
Gm26438,18,73611516,73611622
Gm23490,7,61706591,61706670
Dpy30,17,74299474,74323944
Gm23196,3,132939870,132939976
Gm24492,17,84287641,84287747
Spata31d1c,13,65033058,65038004
Gm27838,X,68678485,68678612
Gm9806,19,16780547,16781103
Sirt5,13,43370710,43395202
Mir217,11,28763728,28763835
Zfp839,12,110850279,110869998
Gm23590,15,102373880,102373983
Map3k9,12,81714950,81781170
Acot1,12,84009502,84017670
Gm23379,3,157398262,157398368
Mir551b,3,29416823,29416920
Gm24092,1,189393350,189393470
Gm22439,2,104578945,104579076
Yipf4,17,74489493,74500277
Cpsf7,19,10525244,10547735
Gm24084,10,52032251,52032387
Gm25447,17,31059604,31059731
Lrrc74a,12,86734383,86763795
Mir150,7,45121757,45121821
Gm44467,11,72953107,72953196
Aoah,13,20794119,21024252
Gm25056,3,151926348,151926409
Tjp2,19,24094523,24225026
Mylip,13,45389742,45412019
Gm10160,7,81855533,81855794
Sarnp,10,128821771,128877638
Gm4305,10,100351111,100351980
Marveld2,13,100595957,100616971
Trappc12,12,28690629,28750453
Iqgap2,13,95627177,95891922
Ddx46,13,55635027,55681256
AC125149.5,GL456210.1,108390,110303
Zfp36l1,12,80107760,80113013
Pard6g,18,80046895,80119640
Gm815,19,26885925,26888639
Pacs1,19,5133688,5273119
AC125149.4,GL456210.1,147792,149707
Golga5,12,102469134,102497902
Apof,10,128267997,128270151
Drd1,13,54051186,54055658
Mgea5,19,45750261,45783520
Gm8385,12,84087015,84087625
Gm9529,19,60966672,60967254
Lect2,13,56542460,56548538
Gm4822,14,112481367,112481846
Gm8526,13,88478586,88479056
Cox8c,12,102899306,102900534
Lzts2,19,45015176,45027104
Eml3,19,8929694,8941563
Gm7138,10,77776252,77776944
Pym1,10,128747879,128766568
A930002H24Rik,17,63863300,63863791
Gm10782,13,56362901,56365769
Spata31d1b,13,59712284,59719289
Gm10145,10,27936364,27936828
Gm26279,3,94920322,94920423
Gm22026,3,14029482,14029762
Arl3,19,46531109,46573085
Cyp2c69,19,39842660,39886769
Snora21,11,97781639,97781775
Mrpl49,19,6053630,6057751
Carmil3,14,55491093,55508246
Vps41,13,18717292,18866809
Gm25830,8,48958350,48958481
Slc3a1,17,85028347,85064243
Mir6516,11,117077348,117077457
Tsga10ip,19,5390049,5394401
Gm25704,2,133008487,133008654
Fbp2,13,62836884,62858400
Gm25797,X,109023356,109023462
9330161L09Rik,12,103406822,103407820
Gm23945,X,71531285,71531376
Gm26148,4,15911567,15911634
Zfp458,13,67254918,67269068
Gm6563,19,23675844,23676712
Mir7241,9,67727717,67727780
Fkbp2,19,6977741,6980461
Gm24147,X,37667233,37667376
Ccdc125,13,100669481,100697240
Mir6362,16,22605326,22605432
Gm26602,10,79910856,79911140
Ero1lb,13,12565883,12609526
Gm26427,8,7428222,7428328
Gm24488,2,10494882,10495008
Gm24655,10,23166865,23166971
4930519P11Rik,2,154612937,154613437
Spata9,13,75967739,75998968
Gm21657,X,32894625,32896121
Mir5624,13,93790777,93790837
Gm10434,11,59208246,59208720
Prpf4b,13,34875494,34902877
Mir143,18,61649196,61649258
Gm23854,10,64304637,64304744
Cdca4,12,112820237,112829389
Gm25838,19,38885242,38885361
Gm24168,10,30942379,30942485
Gm21616,X,125435542,125436039
Gm25377,5,39520976,39521104
Gm27786,7,142577849,142577918
Gm25692,4,45396994,45397118
Gm24833,15,37603415,37603534
Gm10912,2,104065826,104067486
Gm22591,6,113060698,113060803
Mir6987,19,5679004,5679076
Fam217a,13,34909964,34919992
Rnf180,13,105149352,105271039
Mir92-2,X,52741838,52741928
Mir6938,12,85245923,85245985
Gm25544,2,22902388,22902507
Gm3993,12,20071882,20072217
Pdzd8,19,59296084,59345780
Gm24045,4,114987964,114988061
Gm23115,17,71506436,71506543
Ubr7,12,102757975,102777701
Gm23437,14,106766030,106766156
Gm26323,2,23823053,23823227
Gm22979,15,36169796,36169954
Gm17268,11,82028224,82038562
Gm23288,2,10490167,10490287
Mir7234,7,73819590,73819641
Gm26045,14,32023344,32023440
Gm25200,8,118120954,118121083
Pcgf5,19,36379067,36456192
Gm24485,10,129733232,129733298
Mir7001,2,93421929,93422007
Gm10721,9,3013140,3014344
Gm22910,6,53872017,53872148
Gm44347,8,14350178,14350285
Gm11011,2,169582845,169587745
Gm22693,1,49095444,49095885
Gm22824,2,28608195,28608286
n-R5s162,6,60250792,60250910
Gm24805,19,47714784,47714887
Gm25453,18,86349586,86349692
Gm10717,9,3025417,3033289
Rpl31-ps1,12,91890896,91891273
Gm24495,7,59507198,59507276
Gm22127,11,36722882,36722987
Snord14e,9,40804748,40804837
Fbxl22,9,66508459,66514593
Nap1l1,10,111473192,111498142
Gm27317,6,85743515,85743609
Gm25109,13,94517162,94517275
Gm22795,3,10975469,10975586
Fbxo15,18,84935158,84981376
Gm9776,13,94355839,94358818
Gm23768,X,132553714,132553844
Cinp,12,110872610,110889145
Gm24098,15,38238572,38238680
Gm23082,X,7547348,7547480
Gm6803,12,88018337,88018771
Gm26295,16,30814162,30814268
Gm22851,7,59774190,59774283
Gm23653,9,48506964,48507060
Gm21370,13,120026439,120027011
Plk2,13,110395044,110400844
Mir141,6,124717914,124717985
Mir5124b,14,11282477,11282561
Gm22563,4,51540747,51541015
Rpl34-ps2,13,116153781,116154134
Gm23777,10,124455059,124455317
Gm17615,14,124005355,124007629
Gm22870,18,30476407,30476518
Gm26179,6,74340950,74341081
Snora61,4,132310240,132310369
Ppp1r2-ps3,19,30538928,30539554
Slc35g1,19,38395980,38405607
Gm26025,11,57969342,57969612
Mir6909,10,79531029,79531090
Rpl21-ps4,14,11227552,11227992
Gm17528,13,28827123,28827362
Gm22812,7,59806995,59807088
Gm22953,2,121450670,121450770
Mir467g,5,34732853,34732972
Mir3620,X,150547385,150547445
Mir692-3,13,74407065,74407173
Gm21833,16,82828382,82829881
Gm3625,12,4592826,4592927
Gm25725,7,141386495,141386624
Gm23181,1,95039934,95040043
Gm25597,7,59794360,59794453
Gm24806,2,10517337,10517426
Fam50b,13,34734850,34747613
Mir8099-2,3,95139060,95139186
