Gene name,Chromosome/scaffold name,Gene Start (bp),Gene End (bp)
RNU6-257P,16,48731704,48731801
pRNA,21,8433085,8433174
U6,CHR_HSCHR6_MHC_QBL_CTG1,31075424,31075523
snoU13,4,34966241,34966344
Metazoa_SRP,12,3124777,3125063
RNU4ATAC2P,5,159318042,159318167
Y_RNA,4,55412636,55412738
CoTC_ribozyme,11,5224448,5224639
U3,18,7995570,7995785
RNU5E-5P,12,101466705,101466820
U1,CHR_HSCHR1_4_CTG31,144551779,144551943
RN7SKP164,2,76595413,76595678
7SK,CHR_HSCHR6_MHC_MANN_CTG1,30908902,30909204
AC069542.1,10,17602910,17603127
SNORD84,CHR_HSCHR6_MHC_DBB_CTG1,31523278,31523355
RNU6-948P,4,121192797,121192903
MIR652,X,110055329,110055426
Metazoa_SRP,22,21463963,21464279
SNORA40,17,69355133,69355218
MIR892C,X,145992750,145992826
MIR6074,12,66023620,66023726
RNY1P6,13,51586424,51586532
Metazoa_SRP,13,45732082,45732356
MIR380,14,101025017,101025077
Y_RNA,17,67408774,67408881
snoU13,17,29883006,29883109
RNA5SP402,15,100074081,100074190
MIR4478,9,122120082,122120167
MIR6880,12,124337181,124337242
MIR7848,8,133046481,133046581
MIR5002,3,124132929,124133025
AC007325.2,KI270734.1,138082,161852
MIR4450,4,76573568,76573632
Y_RNA,6,29750371,29750472
OSCAR,CHR_HSCHR19LRC_LRC_S_CTG3_1,54094681,54102740
U6,CHR_HSCHR5_6_CTG1,33890040,33890146
RNU6-27P,20,17187510,17187616
Y_RNA,6,135474504,135474609
U1,CHR_HSCHR6_MHC_QBL_CTG1,32510948,32511094
MIR4514,15,80997417,80997473
RN7SL644P,10,92659044,92659302
RN7SL219P,16,2013181,2013476
RNU4-62P,3,121655475,121655604
Y_RNA,10,37303000,37303109
RNU6-655P,18,78036739,78036845
RNU6-1168P,2,88383494,88383597
SNORA74,10,45984610,45984810
uc_338,21,39171462,39171560
Y_RNA,4,41303237,41303337
SNORA24,15,65285461,65285591
RNU6-333P,12,53138545,53138651
RNU6-1074P,4,139256657,139256760
RN7SKP62,5,100733058,100733386
RN7SKP230,5,109699500,109699834
RN7SL648P,X,74242608,74242908
Y_RNA,4,61906313,61906408
RN7SKP12,1,242188647,242188789
U1,CHR_HSCHR6_MHC_QBL_CTG1,32447192,32447340
RNA5SP25,13,21369790,21369899
RN7SL149P,8,41840059,41840339
RNA5SP106,2,147713455,147713554
RNU6-892P,8,20229779,20229877
Metazoa_SRP,19,16187313,16187566
RN7SL202P,19,3920245,3920506
RNA5SP119,2,211535653,211535769
RNA5SP299,10,8656716,8656831
RN7SKP100,20,43063326,43063609
U6,3,129819777,129819876
Metazoa_SRP,CHR_HSCHR17_1_CTG5,46165745,46166022
U1,CHR_HSCHR4_7_CTG12,189720125,189720300
SNORA33,6,132817219,132817348
SNORD115-5,15,25178738,25178819
Y_RNA,14,90177222,90177330
RNA5SP467,19,12106497,12106614
RNU6-784P,4,70703018,70703123
RN7SKP13,4,181834865,181835108
Y_RNA,3,88431191,88431309
mascRNA-menRNA,11,65506117,65506173
RN7SKP60,5,165609441,165609679
RN7SL828P,11,118067237,118067539
SNORD56,20,35117136,35117207
RN7SKP144,3,2088933,2089211
SNORD105,19,10107651,10107735
RNY1P14,4,140700835,140700942
RNU2-46P,9,95859904,95860016
MIR7114,9,137450026,137450086
RNU6-1145P,2,61605616,61605722
MIR4441,2,239085827,239085926
RN7SL300P,3,153199700,153200017
MIR1254-1,10,68759318,68759414
C20orf202,20,1203454,1208274
VPS53,17,508668,721717
RP11-554E23.2,12,101954998,101962390
RP11-512N21.1,12,101936216,101936674
CTC-455F18.3,5,170896929,170904461
SCGB1C2,17,137526,139067
RP4-668J24.2,6,1383790,1385066
RP5-1077H22.2,6,905445,909006
RP5-1077H22.1,6,958324,962272
RP11-653B10.1,8,82514568,82677153
GARSP1,17,55550931,55551649
HNRNPA1P4,8,82291624,82292379
AURKAPS1,1,220266706,220267917
RP11-99J16__A.2,1,230710698,230795492
MAPK4,CHR_HSCHR18_1_CTG1_1,50567310,50567991
RP11-429H5.1,CHR_HSCHR18_1_CTG1_1,50465102,50466010
RP3-340H11.2,6,144036618,144037704
HYMAI,6,144004916,144008262
RP11-402L5.2,8,99804159,99804341
LEF1-AS1,4,108167525,108256836
VPS13B,8,99013266,99877580
AC018442.1,8,99695957,99698017
RP4-682C21.5,1,75710003,75724011
CTC-455F18.1,5,170747047,170788650
GEMIN8P2,16,58776540,58777563
STRIP2,7,129434433,129488399
ZFAND1,8,81701334,81732903
RP11-410L14.1,8,99003407,99003842
ABCB10,1,229516582,229558695
RP11-946P6.6,12,110032245,110032803
B3GAT1,11,134378504,134411918
PCNX3,11,65615773,65637439
LINC01366,5,170331429,170333879
HNRNPL,19,38836388,38852347
RP11-305M3.2,7,129410113,129410370
AHCYL2,7,129225023,129430211
ECH1,19,38815422,38832005
DOCK4-AS1,7,111808516,111821773
RP5-881P19.7,1,228073909,228076550
TMEM116,12,111931282,112013185
C11orf84,11,63813388,63827718
RPL19P14,8,98782055,98782628
IGSF9B,11,133908564,133956985
SLC12A8,3,125082636,125212864
RP11-448P19.1,11,133783671,133810376
NTM,11,131370478,132336822
RP11-651K21.1,11,131770795,131771638
ZNF678,1,227563543,227677443
AP002856.7,11,131234538,131251816
RP5-1068B5.1,1,229425020,229425650
NIPAL2,8,98189833,98294393
RP11-235G24.2,6,160905770,160913638
ST14,11,130159562,130210376
LINC01202,5,161910252,162001196
EPRS,1,219968601,220046658
LGALS4,19,38801671,38813364
CTD-2197M16.1,5,36071791,36072079
RAB1B,11,66268533,66277492
CBX3P4,12,2786931,2794295
RP11-372B4.3,12,2885819,2886329
CACNA1C-IT3,12,2269776,2288937
RP11-986G18.3,12,2726400,2727050
LINC01641,1,227393591,227431035
CTD-2090I13.3,1,227430526,227430976
AC007618.3,12,2659937,2660969
LYST,1,235661041,235883640
ISCA1P2,1,229042171,229042591
CTD-2647L4.1,8,29110573,29140729
HMGB1P23,8,29218905,29219472
KCNJ5,11,128891356,128921035
FAM196B,5,169864264,169980740
POT1,7,124822386,124929983
RP11-740D6.3,11,128880325,128880668
RP11-3B12.5,7,125151326,125153611
COX5BP8,1,179255733,179256081
AC007163.6,2,200780495,200812170
KIRREL3-AS2,11,126940746,126945090
MAPKAPK5,12,111841978,111902238
MAPKAPK5-AS1,12,111839764,111842902
RP11-826N14.2,5,176049678,176062021
FAM153B,5,176060689,176132258
RP5-907C10.3,7,124742312,124745017
TMEM229A,7,124030916,124033023
LIMD2,17,63695902,63701172
RPL22L1,3,170864875,170870483
AP4M1,7,100101549,100110345
RP11-50B3.2,11,126160714,126176035
MRGPRF-AS1,11,69012283,69018447
RP11-495P10.5,1,148295180,148297556
LINC01138,1,148290889,148519604
RP11-495P10.10,1,148435105,148436926
MYRF,11,61752642,61788518
RP11-39H3.2,5,180078357,180081691
HOXB13,17,48724763,48729178
RP11-158K1.3,8,124488510,124491643
RP11-87N3.6,17,64572829,64573081
LINC02086,17,48646923,48707346
RP11-357H14.17,17,48635923,48647023
CTD-2377D24.2,17,48690481,48690624
RPL9P28,17,48691116,48691694
MAD1L1,7,1815793,2233243
HMGB3P16,5,112452703,112452989
EFCAB1,8,48710789,48735311
AC006014.8,7,75391955,75395434
RP11-345I18.1,1,179137764,179137934
CTC-359M8.1,5,146307098,146376963
ATPAF2,17,17977409,18039209
PFN1P4,1,148129497,148129898
RP11-185N2.1,12,106170004,106172437
GABRA6,5,161547063,161702593
RCC1L,7,75027122,75074228
RP11-569A11.2,1,202632428,202632911
RP11-175B9.2,1,202438396,202439957
RP11-722G7.1,X,104063871,104076212
SELPLG,12,108622277,108633959
LL0XNC01-240C2.1,X,104062542,104063037
PPT2-EGFL8,6,32153845,32171978
LINC02159,5,160931778,160938626
RP11-3K24.2,17,60315834,60316215
RP11-662B19.1,8,28810103,28810418
CEACAM3,19,41796437,41811553
RPL8,8,144789765,144792587
AL672296.1,1,248771635,248773792
GGPS1,1,235327350,235344532
SLC15A3,11,60937084,60952530
OR2T35,1,248638287,248639258
ADAMDEC1,8,24384285,24406013
OTUB2,14,94026329,94048930
LINC01010,6,134437716,134504581
RP11-109E10.1,11,123313674,123314770
RPS26P31,7,122681315,122681662
CLMP,11,123069865,123195281
RP11-624C23.1,8,24295814,24912073
RIBC2,22,45413691,45432496
RPS29P15,7,100928370,100928540
RPL5,1,92832025,92841924
PCDHGA7,5,141382739,141512979
ZKSCAN1,7,100015572,100041689
CRTAM,11,122838500,122872639
OR2L13,1,248098649,248100922
RP11-548K12.12,7,57828331,57837046
RP11-548K12.1,7,57822465,57822801
RP11-371A22.1,7,133034607,133035920
CLK3P2,1,247936061,247937513
RP11-548K12.3,7,57817601,57818012
LINC00672,17,38925168,38929384
MTND6P25,11,81555910,81556425
RP11-150C16.1,12,58920639,59064238
CEACAM5,19,41708585,41729798
ARHGEF35,7,144186083,144195655
AC112721.1,2,237421420,237425276
RP11-673F18.1,11,78749250,78756480
RP11-981P6.1,12,89561129,89594878
CEACAMP3,19,41599735,41605984
DNAJC19P2,19,41605341,41605671
PRLR,5,35048756,35230589
RECQL4,8,144511288,144517845
FJX1,11,35618419,35620868
RP1-276E15.1,11,35656694,35661339
GLRA4,X,103707224,103728655
LINC02201,5,122628952,122730685
TMEM31,X,103710909,103714028
EIF5B,2,99337353,99401326
RP11-719K4.6,16,14734685,14746177
LIPT1,2,99154955,99163157
AC104809.4,2,240954617,240967451
ABCC8,11,17392885,17476845
CTB-127C13.1,5,160195744,160204826
NRXN2,11,64606174,64723188
SLAMF6,1,160485030,160523262
ATP6V1G2,CHR_HSCHR6_MHC_QBL_CTG1,31534725,31537107
RP11-443B7.2,1,234957231,234959989
IGHV3-25,14,106289029,106289479
OBSCN,1,228208130,228378874
PRKDC,8,47773108,47960183
THRSP,11,78063861,78068351
KCTD14,11,78015715,78046191
BCL9,1,147541412,147626216
CTD-2588C8.8,19,34426112,34428273
CTD-2200P10.1,17,58660424,58692018
IGHV3-21,14,106235064,106235594
HEG1,3,124965710,125055958
IGHV3-20,14,106210936,106211453
AC005754.8,5,141118680,141120765
CH17-140K24.5,5,141182409,141188582
PIH1D1,19,49446298,49453497
C8orf76,8,123219957,123241398
PCDHB9,5,141187127,141191541
BOD1,5,173607514,173616660
IGHV1-14,14,106145891,106146131
IGHVIII-13-1,14,106142287,106142577
AC073387.2,7,109660094,109660802
ENG,9,127815012,127854756
AC073071.1,7,109521981,109597166
TARBP1,1,234391313,234479103
GPR37L1,1,202122858,202133592
LYPLAL1-AS1,1,219086602,219173961
CRIP1P3,1,202096759,202096978
RP11-286E11.2,4,107936031,107941255
CICP5,1,223947605,223950416
RP1-102K2.9,22,30275215,30276951
NBPF17P,1,143595216,143635641
RP11-1149M10.2,8,81154279,81164599
CTD-2306M5.1,5,25404733,25445925
RP11-379K17.4,3,169939353,169966734
RP11-152L7.1,1,218031835,218033660
SNRPD2,19,45687454,45692569
SLC39A4,8,144409742,144416895
LINC01825,2,195533035,195538681
FBXO22,15,75903859,75942510
CMB9-22P13.2,11,65487241,65488136
CXorf36,X,45148374,45200901
RP11-790I12.4,4,69450014,69451613
RP4-620E11.4,20,41459354,41461944
RPP21,CHR_HSCHR6_MHC_QBL_CTG1,30318794,30336373
CKS1BP7,8,80644939,80645173
TRIM26BP,CHR_HSCHR6_MHC_QBL_CTG1,30227804,30231780
HSPB1P2,X,49233956,49234501
SORBS2,4,185585444,185956652
C11orf68,11,65916808,65919117
CTC-441N14.1,5,122154496,122156015
CTC-441N14.4,5,122129622,122183949
FLNA,X,154348524,154374638
RPL23,17,38847865,38853843
MFSD4A,1,205568885,205602918
MKLN1,7,131110096,131496636
RP11-274B21.13,7,128617865,128625905
RP11-212P7.1,7,128570241,128570688
RP11-274B21.14,7,128574751,128622694
MT-TF,MT,577,647
MT-RNR1,MT,648,1601
MT-TV,MT,1602,1670
MT-RNR2,MT,1671,3229
MT-TL1,MT,3230,3304
MT-ND1,MT,3307,4262
MT-TI,MT,4263,4331
MT-TQ,MT,4329,4400
MT-TM,MT,4402,4469
MT-ND2,MT,4470,5511
MT-TW,MT,5512,5579
MT-TA,MT,5587,5655
MT-TN,MT,5657,5729
MT-TC,MT,5761,5826
MT-TY,MT,5826,5891
MT-CO1,MT,5904,7445
MT-TS1,MT,7446,7514
MT-TD,MT,7518,7585
MT-CO2,MT,7586,8269
MT-TK,MT,8295,8364
IGHD1-26,14,105881034,105881053
IGHD7-27,14,105865551,105865561
MT-ATP8,MT,8366,8572
IGHJ1,14,105865407,105865458
AC010468.1,5,111192226,111193042
MT-ATP6,MT,8527,9207
RP11-1223D19.2,2,110279606,110285681
AC137932.5,16,89297508,89298317
IGHJ5,14,105863814,105863862
SYNE1,6,152121684,152637801
RP11-678G14.2,19,21554640,21569237
CPSF1,8,144393229,144409349
MT-CO3,MT,9207,9990
RP11-556O9.4,17,63088162,63089197
MT-TG,MT,9991,10058
MT-ND3,MT,10059,10404
CTD-2561J22.3,19,21405159,21491266
MYL5,4,673580,682033
MT-TR,MT,10405,10469
MT-ND4L,MT,10470,10766
CREBRF,5,173056352,173139284
MT-ND4,MT,10760,12137
CTD-2542C24.9,19,21025915,21026041
MFSD7,4,681829,689441
MT-TH,MT,12138,12206
KIF13A,6,17759183,17987623
MT-TS2,MT,12207,12265
MT-TL2,MT,12266,12336
RP11-435I10.4,16,28456371,28492098
MT-ND5,MT,12337,14148
SHMT1P1,1,43850300,43851611
POLR3G,5,90471748,90514553
CCDC63,12,110846769,110907535
CHAD,17,50464496,50468966
SETP16,11,118833846,118834556
MT-ND6,MT,14149,14673
VN1R5,1,247255972,247257210
MT-TE,MT,14674,14742
RP11-158I9.1,11,118821895,118822084
RP11-158I9.8,11,118791254,118793137
MT-CYB,MT,14747,15887
ZNF84,12,133037292,133063304
FAM83A-AS1,8,123201172,123202743
RP11-539E17.5,8,123181638,123182788
MT-TT,MT,15888,15953
CLSTN3,12,7129698,7158945
MT-TP,MT,15956,16023
AC016831.6,7,130840204,130843725
CYP21A2,6,32038265,32041670
RP11-273B20.1,12,7129079,7131198
MTND4P4,7,57169406,57170771
MTND4LP32,7,57169143,57169412
GDPD4,11,77216558,77301687
PIK3C2G,12,18247614,18648416
RP1-239B22.5,11,17380649,17383531
MTCO3P10,7,57167880,57168651
KB-1562D12.1,8,101461177,101492499
KB-1562D12.3,8,101562008,101562488
OR52A4P,11,5120621,5124513
TNXB,6,32041154,32115334
F5,1,169514166,169586588
BEX4,X,103215092,103217246
KB-1410C5.5,8,101208148,101208558
HLA-DQB1-AS1,CHR_HSCHR6_MHC_SSTO_CTG1,32748576,32749425
SASH1,6,148272304,148552050
TCAM1P,17,63849292,63864379
HLA-DQB1,CHR_HSCHR6_MHC_SSTO_CTG1,32748163,32755410
TAS2R62P,7,143437034,143437973
AC074290.1,2,193730555,193730689
AC118754.4,17,4497394,4499674
PAPPA2,1,176463171,176845605
CTD-2232E5.2,5,89466537,89470039
PTP4A1P7,1,176616273,176616786
AC098795.1,19,56480397,56483977
CTA-407F11.8,22,25561117,25564462
TREH,11,118657316,118679690
POMGNT1,1,46188682,46220305
MYBBP1A,17,4538897,4555631
RP1-206D15.5,1,169474060,169474159
PPP1CC,12,110719680,110742939
RP11-497H16.8,5,70495100,70500903
RAD1,5,34905264,34918989
C6orf48,6,31834608,31839766
PSMB3,17,38752736,38764231
SPNS2,17,4498838,4539035
RP11-65J21.4,16,14408039,14418872
CTC-546K23.1,5,121199704,121357398
OR52S1P,11,5076130,5077066
RP11-497H16.7,5,70462244,70479215
IQGAP1,15,90388218,90502243
RP11-497H16.9,5,70449636,70450353
AC007237.2,7,78486530,78487028
RP11-16N11.2,3,160753428,160755142
TRIM26,CHR_HSCHR6_MHC_QBL_CTG1,30173958,30202936
FAM72B,1,121167646,121185539
SLC25A51P3,8,80594815,80595703
ATP6V0E1P3,2,33602041,33602286
OTOP3,17,74935719,74949992
AC113189.5,17,7581964,7584072
RP11-409K20.7,9,129883693,129884170
RPS4XP23,19,34021659,34021895
RP11-455O6.2,17,81197393,81200288
PNLDC1,6,159800249,159820704
PTOV1-AS1,19,49838639,49851676
GPATCH2,1,217426992,217631082
RP11-180P8.5,17,63004672,63005152
RP11-180P8.4,17,62978494,62978841
RP11-439A17.4,1,121118126,121146826
MAGI2,7,78017057,79453574
IGHA1,14,105707118,105708665
CPNE3,8,86514427,86561498
RP11-328L11.1,8,95403802,95403894
TAC3,12,57010000,57028883
LSM2,6,31797396,31806984
SPNS3,17,4433688,4488208
MAGI2-AS2,7,79008988,79012277
RP4-587D13.2,7,78170195,78170915
AC006355.3,7,79124739,79125750
CTD-2234B20.1,5,23013048,23014527
RP11-120E11.2,14,93334528,93335057
EPHX4,1,92029982,92063536
FAM131B,7,143353400,143362770
AC013463.2,2,164840672,165208261
RP11-307P5.1,6,147660703,147953937
TTC36,11,118527472,118531197
SAMD5,6,147508927,147737547
BBS9,7,33129244,33606068
FBXO36,2,229922302,230013109
LRP5,11,68312609,68449275
ATF5,19,49928702,49933935
RP3-416J7.1,6,167607,170631
UGT2B25P,4,69389492,69402081
KLHL10,17,41835685,41848384
RP11-770J1.3,11,118511911,118531094
DNM1P49,15,75791470,75792683
PCDHA10,5,140855883,141012344
MPV17L2,19,18193182,18196948
TRIM15,CHR_HSCHR6_MHC_QBL_CTG1,30152741,30162231
TRIM60P16,7,56631739,56632727
RP11-760D2.10,7,56597379,56598342
TREML4,6,41228324,41238882
RP11-760D2.4,7,56525428,56526113
CICP18,6,142272,145083
NMD3P2,7,56502284,56503044
RP11-760D2.11,7,56493124,56497285
RPS20P31,12,120247460,120247791
RP1-278C19.8,12,120224744,120225421
RBM22P3,7,56490682,56491635
RP11-57A19.5,16,28454141,28454511
PSD,10,102402617,102421539
WBP1LP12,6,95124,95454
RP13-492C18.1,7,56408699,56409210
RP11-814E24.3,7,56380976,56381312
CTC-551A13.1,5,110970951,111008899
FIBP,11,65883741,65888539
RP11-644F5.10,12,55716036,55724703
TYW3,1,74733152,74766678
RP5-827A12.2,20,51734533,51735067
AP001619.3,21,41870633,41872054
CHMP7,8,23243637,23262000
CTSW,11,65879809,65883741
GS1-393G12.12,8,144314590,144315138
TPM3P4,7,27023737,27024907
TREML3P,6,41208713,41217947
PHBP15,7,74741457,74742121
NCOR1,17,16029157,16218185
DGAT1,8,144314584,144326910
RP11-48B3.5,8,80484561,80485619
MRPL18,6,159789812,159798436
PIGL,17,16217191,16351797
PNKP,19,49859882,49878351
RP11-779O18.2,5,172762521,172763258
RP11-779O18.3,5,172762980,172777774
RP11-351M8.1,15,80896191,80909777
FAM98A,2,33583658,33599382
EIF3CL,16,28379579,28403879
NEURL1B,5,172641266,172691540
ZSWIM7,17,15976560,15999717
METTL1,12,57768471,57772793
RP11-571M6.15,12,57773028,57787046
CTC-529I10.1,17,16023323,16023653
RPLP1P11,17,16044621,16044961
RP11-770J1.4,11,118433121,118435206
AHCTF1,1,246839098,246931978
ZNF737,19,20535825,20565809
PDE8A,15,84980440,85139145
CTD-2332E11.2,19,20611559,20615389
ITGB5,3,124761948,124901418
ESRRA,11,64305572,64316743
SLC5A8,12,101155493,101210407
CTD-2542C24.3,19,20838515,20847417
TRMT112,11,64316460,64318084
RP11-644F5.16,12,55638912,55659795
RP4-725G10.4,7,56175634,56176412
DPF2,11,65333754,65353249
RP1-117B12.4,17,50396438,50397888
HCFC2,12,104064457,104106524
LRRC59,17,50375059,50397553
GIMD1,4,106357485,106368825
CHRM1,11,62908679,62921807
CTD-2613O8.1,5,121059244,121060953
CTD-2334D19.1,5,120781218,120790778
RP1-68D18.4,11,35210343,35214985
AC005609.2,5,140764110,140764821
PCGF2,17,38733897,38749817
YWHAZ,8,100916525,100953388
RP11-832A4.7,11,118264593,118266817
CHFR,12,132822187,132956304
