HGNC symbol	Chromosome Name	Gene Start (bp)	Gene End (bp)
GAPDHP69	13	29880915	29881922
LIPT1P1	13	102654475	102655660
	13	29913703	29914006
RNY1P2	13	102669303	102669419
MTUS2-AS1	13	30050652	30064242
MIR4705	13	102698284	102698354
RPL39P29	13	102915396	102915552
TIMM8BP1	13	30440096	30440306
LINC00297	13	30446750	30462542
FGF14-IT1	13	102944677	103046869
LINC00572	13	30492784	30500788
FGF14-AS1	13	103019889	103026016
LINC00544	13	30510042	30524625
FGF14-AS2	13	103046980	103048053
	13	30596158	30597937
	13	103053821	103054807
LINC00555	13	103241722	103242163
LINC00365	13	30677315	30683012
	13	103331776	103332308
LINC00384	13	30726023	30733758
	13	103374152	103374255
LINC00283	13	103395340	103397574
LINC00385	13	30728203	30728723
RNY5P8	13	103472343	103472419
	13	30780753	30780836
RNU6-64P	13	30855902	30856006
METTL21EP	13	103532449	103548383
PRDX2P1	13	30870284	30870872
	13	103541208	103542184
LINC00427	13	30890497	30894040
	13	104077550	104080035
ATP6V1G1P7	13	104096970	104097318
RPL7P45	13	105466678	105467420
DAOA-AS1	13	106111404	106158030
LINC00426	13	30914407	30951282
LINC00343	13	106356629	106416789
LINC01058	13	30993656	30996374
JUP	HG185_PATCH	39910856	39943183
	13	106549872	106549992
UBE2L5P	13	31002084	31002656
	13	106780720	106780837
RNA5SP38	13	106807721	106807839
RBM22P2	13	31113734	31117598
LINC00460	13	107028911	107030565
MFAP1P1	13	31115780	31117034
RPL35P9	13	107078121	107078470
PTPN2P2	13	31127807	31128830
LINC00551	13	107270158	107283707
LINC00443	13	107306264	107324511
LINC00398	13	31377343	31384782
ATP5G1P5	13	107315785	107316195
PPIAP24	13	107516164	107516634
TEX26-AS1	13	31456070	31507983
	13	107594562	107594907
	13	107627286	107627374
	13	107773381	107773471
	13	107973243	107973311
MIR1267	13	108183519	108183596
	13	108288379	108288464
FAM155A-IT1	13	108440690	108487799
RNA5SP39	13	108953560	108953679
HCFC2P1	13	109132574	109134165
MYO16-AS2	13	109753609	109754267
LINC00545	13	31456688	31457532
MYO16-AS1	13	109816250	109853831
	13	31547426	31551760
LINC00370	13	109934321	109940081
	21	19986749	20022678
LINC01066	13	31569299	31570275
LINC01067	13	109962483	109964121
	HG185_PATCH	39958199	39968855
MIR548X	21	20058408	20058482
WDR95P	13	31651391	31689836
LINC00399	13	110053043	110053988
	21	20076689	20076772
LINC00676	13	110380629	110382354
PPIAP22	21	20230097	20230594
ANKRD26P4	13	31885426	31887058
	13	110407168	110407615
RN7SKP10	13	110567443	110567767
LINC00396	13	110705632	110707299
	21	20290252	20308177
EEF1DP3	13	32420978	32527609
	21	20325582	20339376
RN7SL783P	13	110750200	110750498
	13	111066552	111066653
	21	20418629	20420003
COL4A2-AS2	13	111108743	111115634
LINC01073	13	32559822	32565134
	21	20502841	20506741
FRY-AS1	13	32599451	32605776
COL4A2-AS1	13	111154922	111160526
SLC6A6P1	21	20616860	20618709
	13	32872291	32872849
	13	111291555	111292340
	21	20673930	20676056
IFIT1P1	13	32958797	32960245
RPL21P107	13	111415021	111415480
RNU1-139P	21	20717465	20717629
LINC00567	13	111462023	111465431
	13	32994527	32994653
RPL37P4	21	20966155	20966422
	13	32999495	33007091
ANKRD10-IT1	13	111547406	111551519
	21	20993009	20993859
	21	21112023	21112464
ATP8A2P2	13	33051411	33052978
PARP1P1	13	111589106	111592131
C1QBPP	21	21131673	21132442
	21	21265593	21272069
LINC00431	13	111635654	111642911
	21	21629065	21631133
LINC00368	13	111748185	111755444
RNU6-772P	21	21728060	21728164
RN7SKP147	21	21728965	21729208
ARHGEF7-AS2	13	111766159	111768025
RNY1P4	13	33337576	33337690
FDPSP6	21	21760646	21761157
LINC00423	13	33451569	33485788
ARHGEF7-IT1	13	111774999	111796611
KRT18P2	21	21797261	21798518
ARHGEF7-AS1	13	111796652	111797080
TOMM22P3	13	33528195	33528539
RPS3AP1	21	21802755	21803074
	13	33615489	33615580
	13	112248356	112294426
STARD13-IT1	13	33732724	33738546
FKBP10	HG185_PATCH	39968962	39979465
LINC00354	13	112554299	112555490
LINC00320	21	22114908	22175534
	13	112563079	112563148
	13	112706392	112706452
	13	112737863	112739785
LINC00404	13	112760409	112761196
PPIAP1	21	22200445	22200940
LINC00403	13	112761433	112762329
	21	22595616	22599150
LINC01070	13	112851664	112855314
	21	22770068	22770146
	21	22939084	22987758
LINC01043	13	112967781	112976072
	21	23006773	23007049
LINC01044	13	112976881	112985539
	21	23027359	23058649
	13	113372159	113372228
ATP11A-AS1	13	113399763	113409007
LINC00317	21	23095613	23109639
	13	113539551	113539994
STARD13-AS	13	33845516	33855471
	13	113619149	113620445
IGHV1OR15-9	15	20169919	20170354
MCF2L-AS1	13	113621798	113623138
	13	113663092	113663738
	21	23119293	23169735
	13	113663985	113664633
F10-AS1	13	113782469	113783194
KARSP2	13	113784730	113786368
IGHV3OR15-7	15	20192909	20193370
	13	113819316	113819497
	21	23305635	23348000
LDHBP1	13	113930931	113932049
IGHD5OR15-5A	15	20209093	20209115
GRTP1-AS1	13	114005988	114016183
	21	23381263	23470778
DCUN1D2-AS	13	114123216	114130450
IGHD4OR15-4A	15	20210050	20210068
RNU1-16P	13	114133230	114133393
LINC00552	13	114451484	114454062
IGHD3OR15-3A	15	20211158	20211188
GAS6-AS1	13	114518603	114542321
IGHD2OR15-2A	15	20213655	20213685
GAS6-AS2	13	114567141	114569806
LINC00308	21	23470936	23488847
	13	33907816	33909414
	13	114580581	114582349
IGHD1OR15-1A	15	20216406	20216422
	13	33911020	33911109
RN7SL247P	18	21852889	21853170
NT5C3B	HG185_PATCH	39981433	39992515
	21	23507018	23508403
	13	33929343	34250905
MIR320C2	18	21901650	21901699
LINC00454	13	114581673	114586624
	18	21944751	21947948
	18	21982117	21982678
	13	34185104	34185659
	13	34231573	34234065
	18	22009469	22009573
	18	22015328	22019602
RNU5A-4P	13	34403676	34403786
	13	34486129	34486218
VDAC1P12	13	34656566	34657447
LINC00452	13	114586640	114626485
	13	34674848	34674975
GOLGA6L6	15	20737094	20747114
	13	34922180	35188307
LINC00457	13	35009587	35214822
	21	23526270	23526619
LINC00565	13	114629487	114631817
	13	35120066	35245319
RNU4-45P	21	23577511	23577651
RASA3-IT1	13	114873044	114874295
	21	23582258	23793139
GAMTP2	13	35148341	35148803
MIR548AR	13	115009980	115010036
	13	35499971	35502213
MAPK6PS2	21	23808610	23810669
MIR4502	13	115039303	115039383
SCAND3P1	13	35759431	35760816
CLCP2	13	115072121	115072541
PHBP13	13	35825207	35825966
LINC01054	13	115095034	115099423
	15	21004687	21005367
	13	36068551	36068674
LINC00445	13	36271661	36273393
RNU6-71P	13	36841305	36841411
IGHV1OR21-1	21	10862622	10863067
	13	36929928	36930015
HIST1H2APS6	13	37064215	37064578
	13	37302739	37302829
GAPDHP34	13	37314178	37315000
TCEAL4P1	13	37316015	37316602
ARL2BPP3	13	37363469	37369187
KLHL10	HG185_PATCH	39991937	40004636
POTEB2	15	21040701	21071643
NDE1P2	13	37378335	37379439
SMAD9-AS1	13	37423503	37424183
LAMTOR3P1	13	37496676	37497045
RPL29P28	13	37500575	37501356
EIF4A1P5	13	37512537	37513631
	13	37608814	37608929
RN7SKP1	13	37740489	37740795
RPS12P24	13	37794997	37795383
	21	23872924	23892377
LINC01048	13	38055604	38058906
RN7SL609P	21	24052992	24053286
RNA5SP26	13	38428989	38429107
	21	24254903	24256321
HSPD1P9	13	38567222	38568857
	21	24437813	24503528
KLHL11	HG185_PATCH	40009797	40021683
LINC00571	13	38624954	38717369
ZNF299P	21	24462350	24464153
LINC00437	13	39107480	39119436
MSANTD2P1	21	24473545	24475396
LINC00366	13	39150777	39153131
RNU2-55P	21	24654058	24654231
PRDX3P3	13	39191556	39192077
	21	24733426	24757182
RNU6-56P	13	39353561	39353653
	13	39364781	39364891
IGHD5OR15-5B	15	21215823	21215845
FREM2-AS1	13	39395935	39401707
PLA2G12AP2	13	39476524	39476787
IGHD4OR15-4B	15	21216780	21216798
ANKRD26P2	13	39496864	39510336
EEF1A1P1	21	24762579	24763317
IGHD3OR15-3B	15	21217888	21217918
NXT1P1	13	39743773	39744088
IGHD2OR15-2B	15	21220377	21220407
	13	40021252	40021353
	13	40226715	40226806
MIR4305	13	40238171	40238272
TUBAP	21	24779978	24781448
RNY4P14	13	40359552	40359647
CDKN2AIPNLP3	13	40391878	40392186
SECISBP2L	15	49280673	49338760
AZU1P1	13	40430847	40431231
	13	40431272	40431364
IGHD1OR15-1B	15	21223129	21223145
LINC00332	13	40755946	40763165
RPL17P51	13	40798762	40798999
RNY3P9	13	40800964	40801069
	15	22011370	22012050
	13	40918094	40924440
RN7SKP2	13	40981259	40981577
LINC00598	13	41025131	41055143
RLIMP1	13	41192875	41195485
MIR320D1	13	41301964	41302011
MIR621	13	41384902	41384997
TPTE2P5	13	41396432	41495890
POTEB	15	22051853	22083227
TPTE	21	10906201	11029719
ACLY	HG185_PATCH	40023160	40075239
CYCSP34	13	41437735	41438038
SUGT1P3	13	41482295	41495910
RGS17P1	13	41566915	41567467
MIR3168	13	41675155	41675236
	21	24804501	24804602
RN7SL597P	13	41696012	41696305
	21	24849960	24863043
CALM2P3	13	41744836	41745284
	21	25261114	25262857
	13	41754117	41754223
MORF4L1P4	13	41773968	41774943
	21	25333220	25339588
RAC1P3	13	41861877	41862456
	21	25415572	25422601
	18	22069339	22071044
RNU6-57P	13	41928693	41928795
	21	25527484	25560655
	18	22096847	22097970
TUBBP2	13	41958909	41959319
	21	25676863	25693690
	18	22102237	22102883
OR7E36P	13	42005425	42006446
	21	25801054	25920256
	18	22208146	22242162
OR7E155P	13	42013952	42015035
	18	22253127	22254312
RAC1P1	18	22265736	22266315
OR7E37P	13	42016906	42017786
	18	22269878	22270125
	13	42019427	42019503
	18	22305745	22509040
	13	42020193	42020261
	13	42024148	42024235
MIR5006	13	42142422	42142531
RN7SL515P	13	42381813	42382108
RNU6-74P	13	42479254	42479360
	18	22513451	22567646
KARSP1	13	42499734	42501485
WBP2P1	18	22596398	22597168
RPS28P8	13	42577566	42577773
	13	42617863	42618383
	18	22635564	22636724
MAPK6PS3	13	42643068	42645229
	18	22882090	22882920
	13	42747126	42747223
RN7SL97P	18	23398200	23398496
CHCHD2P11	13	42755601	42756057
	18	23533180	23533432
FHP1	13	42830009	42830711
RPS24P18	18	23678803	23679190
TTC25	HG185_PATCH	40086887	40121903
FABP3P2	13	42943374	42943793
DHFRP1	18	23749724	23751313
LINC01050	13	43384502	43386698
LINC00428	13	43416550	43417023
NPM1P2	18	23784833	23785868
ZDHHC4P1	13	43507994	43509028
	21	14741931	14745386
FAM60BP	18	23835662	23836319
LINC00400	13	43732767	43733602
RPL36P19	13	43968661	43968961
	18	23845973	23847373
ENOX1-AS2	13	44032601	44033259
	18	23879079	23879219
ENOX1-AS1	13	44118054	44122192
	18	23928311	23928968
	13	44361727	44361988
RNU6-1289P	18	23946265	23946370
	18	24002959	24006065
POTED	21	14982498	15013906
	18	24166678	24166762
LINC00284	13	44482850	44604597
CIAPIN1P	18	24179372	24180302
CNP	HG185_PATCH	40122993	40131428
	21	15051621	15053459
AQP4-AS1	18	24235706	24770662
DGKZP1	13	44542560	44545335
LDLRAD4	18	13217497	13652754
LINC00390	13	44680514	44711372
SMIM2-AS1	13	44716682	44813010
	18	24267585	24283602
SMIM2-IT1	13	44720606	44732358
	18	24268075	24269632
	13	44808254	44817328
	18	24402777	24403943
LINC01071	13	44974386	44980120
	18	24411484	24412396
	18	24532165	24532522
	13	45011343	45026963
	18	24805706	24827152
DNAJC7	HG185_PATCH	40132691	40173905
SMARCE1P5	13	45168994	45170218
LIPI	21	15481134	15583166
	13	45202705	45202809
LINC00407	13	45225948	45275152
LINC00330	13	45373639	45383766
	13	45556212	45657260
RN7SL49P	13	45576285	45576580
RN7SKP3	13	45634864	45635221
	13	45697228	45697549
RNU6-69P	13	45711997	45712100
	13	45837825	45838050
	13	45874149	45874235
	13	45910449	45910582
SNORA31	13	45911615	45911744
	13	45914174	45915318
RBM11	21	15588451	15600693
OR4M2	15	22368478	22369561
	21	26212864	26430059
NKIRAS2	HG185_PATCH	40173272	40181893
OR4N4	15	22382382	22383507
TPT1-AS1	13	45915480	45965872
	21	26258990	26275070
	21	26310745	26365129
IGHV1OR15-1	15	22448382	22448819
	15	22456895	22460351
IGHV4OR15-8	15	22472918	22473353
	21	26403318	26403842
	21	26427848	26442219
HSPA13	21	15743436	15755805
ZNF385C	HG185_PATCH	40181828	40219330
	13	45924458	45925485
RCN1P2	13	45964486	45965402
SLC25A30-AS1	13	45992297	45994506
PPIAP25	13	46010256	46010795
RNA5SP27	13	46125620	46125738
GOLGA6L1	15	22736246	22746002
TIMM9P3	13	46126998	46127271
COX4I1P2	13	46245980	46246526
LINC01055	13	46255225	46256554
	21	26467335	26475983
AKR1B1P4	13	46261683	46262604
DHX58	HG185_PATCH	40257656	40268985
	21	26499782	26507561
CPB2-AS1	13	46626941	46687467
	21	26541745	26706139
RNA5SP489	21	26574521	26574629
RN7SL288P	13	46743594	46743883
	13	46809805	46809908
RN7SKP5	13	46824077	46824348
FAM206BP	13	46844212	46844752
LINC00563	13	46870580	46871979
RNU2-6P	13	46948536	46948725
RNU6-68P	13	46984589	46984692
COPS2	15	49398268	49447858
SAMSN1	21	15857549	15955723
PPP1R2P4	13	46917102	47012325
KAT2A	HG185_PATCH	40269360	40277610
	21	15964251	16031142
	13	47029270	47060641
OR7E101P	13	47034744	47035256
COX17P1	13	47064997	47065397
HSPB9	HG185_PATCH	40277683	40279604
FKBP1AP3	13	47079253	47079571
HTR2A-AS1	13	47426278	47430434
GNG5P5	13	47881217	47881436
RN7SL700P	13	48033078	48033369
NAP1L4P3	13	48337595	48338741
RPL27AP8	13	48340775	48341220
RAB5C	HG185_PATCH	40281228	40311269
	13	48399465	48410091
TUBGCP5	15	22833395	22873892
LINC00444	13	48479464	48481492
LINC00562	13	48504290	48506757
SUCLA2-AS1	13	48575525	48576688
	HG185_PATCH	39874406	39874512
MED4-AS1	13	48651273	48654127
	HG185_PATCH	39886381	39886657
	HG185_PATCH	39993316	39993580
POLR2KP2	13	48708494	48708670
	HG185_PATCH	40004770	40007699
LINC00441	13	48870649	48877797
	18	24916343	25175128
PPP1R26P1	13	48890999	48894611
PCNPP5	13	48902220	48902700
LINC01077	13	49144775	49147453
NRIP1	21	16333556	16437321
LINC00462	13	49151110	49152224
	18	24923216	24926074
	13	49326225	49326292
PSME2P2	13	49345264	49345965
UBA52P9	18	24935370	24935728
	13	49504256	49504348
RNU6-60P	13	49562051	49562153
	18	24977916	24981868
RAD17P2	13	49618215	49620930
RBM22P1	18	24998848	25000399
RNY3P2	13	49669527	49669628
COX7CP1	13	49761615	49761806
PA2G4P3	18	25032478	25033621
OGFOD1P1	13	49784558	49786430
	18	25534483	25543651
SNRPGP14	13	50063106	50063500
RMDN3	15	41028082	41048049
ARIH2P1	18	26231696	26233172
	13	50194450	50194784
PECAM1	HG183_PATCH	62399863	62491136
	18	26365032	26369224
	13	50243040	50243254
	18	26404616	26404790
RNY4P30	13	50463770	50463864
CTAGE10P	13	50464727	50467134
RNU6-408P	18	26628584	26628683
	18	26675539	26675643
RNY4P9	13	50482770	50482866
	18	26776406	26776492
	13	50526670	50526750
MIR3613	13	50570551	50570637
	18	26836782	26837025
	15	62929371	62937490
	18	26858474	26941928
	18	27063293	27063388
	18	27098224	27128206
	18	28293241	28294252
	18	28534786	28560883
RNU6-857P	18	28564072	28564181
	18	28638806	28639359
DLEU2	13	50601269	50699856
	18	28652470	28652573
	21	26711319	26711413
	18	28681551	28742752
RPL13AP7	21	26734135	26734745
	18	28711419	28712457
LINC00158	21	26758133	26804013
	18	28923331	29006951
	21	26842421	26842513
	21	26887785	26890650
MIR16-1	13	50623109	50623197
RNU6-167P	18	28925325	28925430
RPL18P10	13	50673467	50674004
MIR155HG	21	26934221	26947480
	18	28962280	28962393
	18	29076608	29077158
ST13P4	13	50746225	50747317
LINC00515	21	26955082	26955638
	18	29122109	29136874
RNGTTP1	21	27015801	27016528
RPL34P26	13	50935546	50935899
FDX1P2	21	27064492	27064866
MILR1	HG183_PATCH	62526397	62546003
RNU6-1002P	18	29249252	29249341
	13	50937284	50937373
	21	27135249	27135644
	13	51095069	51101585
	18	29265618	29266786
RN7SKP44	18	29298856	29299171
GCHFR	15	41056218	41059906
LRRC37A7P	18	29304161	29306919
	21	27306373	27315001
	18	29306006	29306360
DLEU7-AS1	13	51381992	51423190
RNU6-123P	21	27315359	27315460
	18	29424351	29425141
RNA5SP28	13	51387124	51387242
	21	27530409	27548142
	18	29462583	29462865
	18	29464821	29465106
	21	27543189	27589700
RNU6-1050P	18	29517496	29517602
RNASEH2B-AS1	13	51450822	51484848
	18	29522538	29524119
RNU6-926P	21	27563026	27563132
PGDP1	18	29542141	29543581
	21	27722099	27722953
	18	29546923	29547508
	21	27750871	27844017
	18	29598792	29691742
	18	29640868	29640952
	18	29655848	29656235
	18	29671258	29672082
	18	29674467	29674569
POLG2	HG183_PATCH	62555145	62574426
	18	29702363	29704441
RNA5SP453	18	29756013	29756131
	18	29775989	29776929
	18	29825909	29828995
	18	29843098	29843201
	18	29867400	29870303
HNRNPA1P7	18	29991471	29993167
WBP11P1	18	30091626	30094597
DNAJC17	15	41060067	41099675
	18	30106105	30106185
FAM210A	18	13663346	13726662
	18	30161491	30162791
GUCY1B2	13	51568647	51654998
USP25	21	17102344	17252377
	21	27765954	27941571
	21	27832222	27832533
	21	28261695	28312061
MIR4759	21	28326280	28326362
GPX1P2	21	28515663	28516268
	21	28731204	28820898
	21	28733483	28768106
RNA5SP29	13	51601883	51601988
LINC00371	13	51656984	51746524
RPL5P31	13	51735859	51736493
SLMO2P2	13	51770017	51770217
DDX5	HG183_PATCH	62576980	62585072
MIR5693	13	51922703	51922775
	13	51935701	51936371
	13	51936795	51937579
ST8SIA5	18	44259081	44339220
INTS6-AS1	13	52026503	52126500
C21orf37	21	18811208	18821503
MIR4752	HSCHR19LRC_COX2_CTG1	54785613	54785684
	HSCHR19LRC_COX2_CTG1	55043099	55043205
RPS4XP16	13	52028300	52035451
RN7SL320P	13	52043886	52044181
SNRPGP11	13	52070156	52070387
MIR4703	13	52126725	52126803
CEP95	HG183_PATCH	62584096	62615309
RNU6-65P	13	52139548	52139645
RNY1P6	13	52160560	52160668
RN7SL413P	13	52168057	52168351
ATP5F1P1	13	52172552	52173596
	13	52378433	52387356
CTAGE3P	13	52482354	52484757
FABP5P2	13	52540878	52541285
	HG183_PATCH	62385676	62386050
	13	52741844	52865692
	HG183_PATCH	62467518	62467623
	HG183_PATCH	62502429	62502530
	HG183_PATCH	62539910	62540007
	HG183_PATCH	62568883	62569149
MIR3064	HG183_PATCH	62578133	62578199
CXADR	21	18884700	18965897
MIR5047	HG183_PATCH	62578574	62578673
	HG183_PATCH	62608135	62608217
MRPS31P5	13	52741844	52768600
RNMT	18	13726659	13764557
QSOX2	HG998_1_PATCH	139098179	139137687
PIAS2	18	44388353	44500123
TPTE2P2	13	52793479	52908412
GALK2	15	49447853	49660066
	HG998_1_PATCH	139173226	139198747
	HG998_1_PATCH	139141817	139143051
BTG3	21	18965971	18985265
EIF4A1P1	21	28739333	28740266
SUMO2P15	15	41052795	41053072
RPL10P1	21	28792699	28793342
NCSTNP1	21	28864437	28864580
	21	29011012	29025810
	15	41128006	41136585
C15orf62	15	41062159	41064643
EPPIN-WFDC6	20	44165625	44176065
LINC00113	21	29094698	29123552
	15	41167511	41167608
DOCK3	HG186_PATCH	50712672	51421329
	15	41199009	41201540
	21	29327240	29357614
ISCA1P4	15	41240934	41241067
LINC00314	21	29385682	29395552
	15	41291472	41297063
	15	41303795	41305498
	21	29420733	29509930
	15	41309005	41320091
MANF	HG186_PATCH	51422478	51426828
CYCSP2	15	41401076	41401376
WFDC8	20	44179792	44207965
TPM1	15	63334831	63364114
FAM92A1P1	15	41455360	41456572
RN7SL497P	15	41484165	41484463
RBM15B	HG186_PATCH	51428699	51435339
WFDC9	20	44236578	44259907
C21orf91	21	19161284	19191703
OIP5-AS1	15	41576188	41601901
MROH1	HG243_PATCH	145202919	145316830
	18	30359002	30359249
	18	30413417	30518280
	18	30534039	30537962
	18	31132087	31158151
	18	31581662	31581763
	18	31802929	31804725
	18	32153951	32154487
	18	32317759	32347627
	18	32399910	32399995
	18	32860831	32870165
ZNF271	18	32870246	32890730
	18	32963318	32963989
	18	33023833	33047052
	18	33175865	33177563
	18	33296334	33297942
CRTC3	15	91073157	91188577
NRBF2P1	18	33421723	33422581
MIR187	18	33484781	33484889
BOP1	HG243_PATCH	145317005	145346273
MIR3929	18	33514051	33514105
ZFYVE19	15	41099284	41106767
	18	33531766	33546081
	18	33759959	33767411
	18	33853537	33854562
	18	33858698	33859082
CSTF1	20	54967427	54979518
	18	34222576	34222647
	18	34481909	34503777
	18	34814082	34816205
CHODL	21	19273580	19639690
VPRBP	HG186_PATCH	51433298	51537425
	18	34823739	34827179
	18	34853669	34856535
MIR4318	18	35237098	35237178
	18	35252652	35253139
	18	36235173	36267962
RN7SKP182	18	36596011	36596308
RNU6-706P	18	36613971	36614074
	13	52908430	52916031
	HG243_PATCH	145321463	145323384
LINC00669	18	36786888	37380282
RNY4P24	13	52974139	52974234
LINC00345	13	53058296	53058815
WFDC10A	20	44258165	44259835
RPL7AP66	18	36914836	36915639
	13	53063128	53073440
	15	41635278	41636423
MIR5583-1	18	37256685	37256743
RNU6-1169P	15	41740940	41741042
CYFIP1	15	22892005	23006016
TCEB1P2	15	41849225	41849633
RNU6-1242P	18	37258484	37258586
	18	37421138	37504804
